"Name" -> "Fire___Rescue_Incidents_by_Day_and_Type"
"ResourceType" -> "DataResource"
"Title" -> "Fire & Rescue Incidents in Urbana"
"Description" -> "Records of fire & rescue alarm incidents by day and type in Urbana IL from 2012 to 2014"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Fire-and-Rescue/Fire-Rescue-Incidents-by-Day-and-Type/kcfr-xfr4/data"
"Date" -> "2012-2014"
"Keywords" -> "Text, Fire, Rescue, Emergency, Alarm, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
Alarm Date,Alarm Time,Incident Type,Incident Type Description,Count
01/05/2012,15:07:02,7,False Alarm or False Call,1
01/05/2012,15:08:06,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,16:30:10,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,17:52:26,7,False Alarm or False Call,1
01/05/2012,18:34:51,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,18:43:00,6,Good Intent Call,1
01/05/2012,19:48:53,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,20:21:51,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,10:57:47,3,Rescue or Emergency Medical Services Incident,1
01/08/2012,8:40:41,7,False Alarm or False Call,1
01/05/2012,20:59:19,4,Hazardous Condition (no fire),1
01/05/2012,21:28:06,7,False Alarm or False Call,1
01/05/2012,23:39:49,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,8:43:06,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,10:54:18,7,False Alarm or False Call,1
01/06/2012,11:28:15,7,False Alarm or False Call,1
01/06/2012,11:59:56,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,13:47:44,7,False Alarm or False Call,1
01/06/2012,14:34:17,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,18:22:22,7,False Alarm or False Call,1
01/06/2012,20:28:17,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,20:35:42,7,False Alarm or False Call,1
01/06/2012,20:47:17,6,Good Intent Call,1
01/06/2012,22:11:53,3,Rescue or Emergency Medical Services Incident,1
01/06/2012,22:18:16,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,1:22:11,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,1:37:57,6,Good Intent Call,1
01/07/2012,6:00:43,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,7:45:56,7,False Alarm or False Call,1
01/07/2012,10:24:06,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,16:39:01,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,17:45:02,7,False Alarm or False Call,1
01/07/2012,18:19:50,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,18:56:41,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,19:44:56,3,Rescue or Emergency Medical Services Incident,1
01/07/2012,21:26:10,7,False Alarm or False Call,1
01/07/2012,22:16:31,4,Hazardous Condition (no fire),1
01/08/2012,0:48:14,6,Good Intent Call,1
01/08/2012,3:26:56,3,Rescue or Emergency Medical Services Incident,1
01/08/2012,4:01:48,3,Rescue or Emergency Medical Services Incident,1
01/08/2012,4:16:00,4,Hazardous Condition (no fire),1
01/08/2012,8:56:31,2,"Overpressure Rupture, Explosion, Overheat (no fire)",1
01/08/2012,9:47:37,3,Rescue or Emergency Medical Services Incident,1
01/08/2012,10:28:08,2,"Overpressure Rupture, Explosion, Overheat (no fire)",1
01/08/2012,18:54:07,7,False Alarm or False Call,1
01/08/2012,18:57:19,3,Rescue or Emergency Medical Services Incident,1
01/08/2012,21:22:15,2,"Overpressure Rupture, Explosion, Overheat (no fire)",1
01/08/2012,22:17:05,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,0:27:35,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,1:57:46,6,Good Intent Call,1
01/09/2012,6:23:07,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,9:06:57,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,9:11:29,6,Good Intent Call,1
01/09/2012,9:48:18,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,11:55:15,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,12:13:47,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,14:43:46,6,Good Intent Call,1
01/09/2012,15:06:49,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,17:56:02,5,Service Call,1
01/09/2012,20:41:45,3,Rescue or Emergency Medical Services Incident,1
01/09/2012,21:03:49,7,False Alarm or False Call,1
01/10/2012,0:47:50,6,Good Intent Call,1
01/10/2012,8:07:24,3,Rescue or Emergency Medical Services Incident,1
01/10/2012,9:07:03,3,Rescue or Emergency Medical Services Incident,1
01/10/2012,9:38:04,6,Good Intent Call,1
01/10/2012,18:16:36,3,Rescue or Emergency Medical Services Incident,1
01/10/2012,19:15:15,3,Rescue or Emergency Medical Services Incident,1
01/10/2012,20:38:52,4,Hazardous Condition (no fire),1
01/10/2012,23:56:21,4,Hazardous Condition (no fire),1
01/11/2012,3:18:50,5,Service Call,1
01/11/2012,10:41:47,5,Service Call,1
01/11/2012,11:53:32,4,Hazardous Condition (no fire),1
01/12/2012,8:09:26,6,Good Intent Call,1
01/12/2012,8:12:34,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,21:13:48,3,Rescue or Emergency Medical Services Incident,1
01/16/2012,4:44:21,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,9:33:29,3,Rescue or Emergency Medical Services Incident,1
01/20/2012,11:47:33,7,False Alarm or False Call,1
01/20/2012,12:20:29,4,Hazardous Condition (no fire),1
01/11/2012,12:45:58,3,Rescue or Emergency Medical Services Incident,1
01/11/2012,13:53:12,3,Rescue or Emergency Medical Services Incident,1
01/11/2012,15:29:36,6,Good Intent Call,1
01/11/2012,18:55:42,7,False Alarm or False Call,1
01/11/2012,20:09:33,3,Rescue or Emergency Medical Services Incident,1
01/11/2012,20:17:13,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,4:54:29,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,5:20:36,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,7:47:28,6,Good Intent Call,1
01/12/2012,8:56:38,6,Good Intent Call,1
01/12/2012,11:11:45,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,11:23:03,7,False Alarm or False Call,1
01/12/2012,12:44:46,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,12:50:38,5,Service Call,1
01/12/2012,13:15:20,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,14:30:55,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,14:36:16,3,Rescue or Emergency Medical Services Incident,1
01/12/2012,20:16:25,6,Good Intent Call,1
01/13/2012,6:35:22,7,False Alarm or False Call,1
01/13/2012,7:23:51,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,7:12:47,7,False Alarm or False Call,1
01/13/2012,7:57:19,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,9:20:32,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,10:05:32,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,12:44:28,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,12:47:13,3,Rescue or Emergency Medical Services Incident,1
01/13/2012,18:48:26,6,Good Intent Call,1
01/13/2012,18:53:05,1,Fire,1
01/13/2012,19:50:08,1,Fire,1
01/13/2012,22:56:04,7,False Alarm or False Call,1
01/13/2012,23:06:15,5,Service Call,1
01/14/2012,3:24:22,6,Good Intent Call,1
01/14/2012,8:07:35,7,False Alarm or False Call,1
01/14/2012,8:11:54,3,Rescue or Emergency Medical Services Incident,1
01/14/2012,8:50:17,6,Good Intent Call,1
01/14/2012,9:28:17,3,Rescue or Emergency Medical Services Incident,1
01/14/2012,11:19:32,7,False Alarm or False Call,1
01/14/2012,11:45:47,3,Rescue or Emergency Medical Services Incident,1
01/14/2012,11:43:01,7,False Alarm or False Call,1
01/14/2012,12:49:21,6,Good Intent Call,1
01/14/2012,14:23:20,3,Rescue or Emergency Medical Services Incident,1
01/14/2012,21:19:52,7,False Alarm or False Call,1
01/14/2012,23:46:59,7,False Alarm or False Call,1
01/15/2012,1:22:33,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,1:23:36,5,Service Call,1
01/15/2012,4:22:05,5,Service Call,1
01/15/2012,6:32:49,5,Service Call,1
01/15/2012,8:57:07,5,Service Call,1
01/15/2012,9:44:59,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,12:25:28,7,False Alarm or False Call,1
01/15/2012,15:00:59,7,False Alarm or False Call,1
01/15/2012,16:08:55,4,Hazardous Condition (no fire),1
01/15/2012,17:26:45,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,18:07:43,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,19:25:23,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,20:12:45,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,20:50:16,3,Rescue or Emergency Medical Services Incident,1
01/15/2012,21:02:33,5,Service Call,1
01/15/2012,21:26:07,3,Rescue or Emergency Medical Services Incident,1
01/16/2012,0:04:34,6,Good Intent Call,1
01/16/2012,12:24:12,7,False Alarm or False Call,1
01/16/2012,12:59:29,3,Rescue or Emergency Medical Services Incident,1
01/16/2012,14:20:20,3,Rescue or Emergency Medical Services Incident,1
01/16/2012,14:24:36,7,False Alarm or False Call,1
01/16/2012,19:33:18,7,False Alarm or False Call,1
01/16/2012,20:01:20,7,False Alarm or False Call,1
01/16/2012,21:26:41,7,False Alarm or False Call,1
01/16/2012,22:16:32,3,Rescue or Emergency Medical Services Incident,1
01/16/2012,23:36:05,3,Rescue or Emergency Medical Services Incident,1
01/17/2012,2:24:21,7,False Alarm or False Call,1
01/17/2012,2:38:49,7,False Alarm or False Call,1
01/17/2012,2:46:00,6,Good Intent Call,1
01/17/2012,2:50:48,3,Rescue or Emergency Medical Services Incident,1
01/17/2012,3:45:35,7,False Alarm or False Call,1
01/17/2012,3:53:35,5,Service Call,1
01/17/2012,4:08:06,7,False Alarm or False Call,1
01/17/2012,8:31:47,7,False Alarm or False Call,1
01/17/2012,10:48:42,7,False Alarm or False Call,1
01/17/2012,11:54:07,1,Fire,1
01/17/2012,13:00:49,7,False Alarm or False Call,1
01/17/2012,15:17:50,7,False Alarm or False Call,1
01/17/2012,21:09:04,3,Rescue or Emergency Medical Services Incident,1
01/17/2012,21:34:00,7,False Alarm or False Call,1
01/17/2012,22:40:06,6,Good Intent Call,1
01/17/2012,22:56:24,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,0:03:58,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,4:00:02,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,9:16:09,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,9:19:00,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,9:35:51,4,Hazardous Condition (no fire),1
01/18/2012,11:10:42,7,False Alarm or False Call,1
01/18/2012,11:55:01,7,False Alarm or False Call,1
01/18/2012,14:30:19,7,False Alarm or False Call,1
01/18/2012,14:52:56,1,Fire,1
01/18/2012,14:57:08,7,False Alarm or False Call,1
01/18/2012,15:09:59,1,Fire,1
01/18/2012,16:43:42,7,False Alarm or False Call,1
01/18/2012,18:51:05,4,Hazardous Condition (no fire),1
01/18/2012,20:46:22,5,Service Call,1
01/18/2012,21:03:49,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,22:24:31,3,Rescue or Emergency Medical Services Incident,1
01/18/2012,22:40:37,7,False Alarm or False Call,1
01/19/2012,0:05:52,3,Rescue or Emergency Medical Services Incident,1
01/19/2012,2:38:51,7,False Alarm or False Call,1
01/19/2012,3:35:38,3,Rescue or Emergency Medical Services Incident,1
01/19/2012,3:55:36,3,Rescue or Emergency Medical Services Incident,1
01/19/2012,7:34:44,6,Good Intent Call,1
01/19/2012,9:20:27,5,Service Call,1
01/19/2012,16:23:15,3,Rescue or Emergency Medical Services Incident,1
01/19/2012,16:27:52,5,Service Call,1
01/19/2012,19:36:30,6,Good Intent Call,1
01/19/2012,21:18:19,6,Good Intent Call,1
01/20/2012,1:11:48,5,Service Call,1
01/20/2012,1:59:22,7,False Alarm or False Call,1
01/20/2012,10:54:54,5,Service Call,1
01/20/2012,17:18:16,3,Rescue or Emergency Medical Services Incident,1
01/20/2012,20:12:23,7,False Alarm or False Call,1
01/20/2012,20:32:04,7,False Alarm or False Call,1
01/20/2012,21:56:07,3,Rescue or Emergency Medical Services Incident,1
01/20/2012,22:11:21,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,0:22:15,7,False Alarm or False Call,1
01/22/2012,18:37:37,1,Fire,1
01/23/2012,3:33:53,7,False Alarm or False Call,1
01/26/2012,10:27:10,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,11:41:48,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,18:07:56,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,14:14:51,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,18:19:12,1,Fire,1
01/26/2012,19:41:28,1,Fire,1
01/26/2012,8:14:20,6,Good Intent Call,1
01/26/2012,18:27:01,4,Hazardous Condition (no fire),1
01/27/2012,2:29:14,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,1:52:17,1,Fire,1
01/27/2012,4:40:42,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,6:01:26,7,False Alarm or False Call,1
01/31/2012,12:28:45,7,False Alarm or False Call,1
02/04/2012,23:14:26,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,1:04:49,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,2:20:47,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,2:22:23,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,6:08:25,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,7:59:54,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,9:23:51,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,12:04:32,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,13:41:43,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,14:31:18,3,Rescue or Emergency Medical Services Incident,1
01/21/2012,16:02:27,7,False Alarm or False Call,1
01/21/2012,20:14:06,7,False Alarm or False Call,1
01/21/2012,20:45:24,7,False Alarm or False Call,1
01/22/2012,0:49:55,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,1:16:59,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,1:25:48,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,2:36:29,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,3:26:30,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,3:52:03,6,Good Intent Call,1
01/22/2012,4:38:11,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,4:39:31,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,6:23:50,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,6:59:47,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,8:25:08,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,9:00:08,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,11:06:58,7,False Alarm or False Call,1
01/22/2012,11:08:50,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,12:44:38,6,Good Intent Call,1
01/22/2012,12:48:47,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,14:43:28,5,Service Call,1
01/22/2012,15:02:02,7,False Alarm or False Call,1
01/22/2012,18:14:19,7,False Alarm or False Call,1
01/22/2012,17:59:42,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,19:10:03,5,Service Call,1
01/22/2012,19:50:31,7,False Alarm or False Call,1
01/22/2012,22:19:09,7,False Alarm or False Call,1
01/22/2012,22:47:30,7,False Alarm or False Call,1
01/22/2012,23:00:33,3,Rescue or Emergency Medical Services Incident,1
01/22/2012,22:43:31,4,Hazardous Condition (no fire),1
01/23/2012,5:28:59,7,False Alarm or False Call,1
01/23/2012,8:09:20,3,Rescue or Emergency Medical Services Incident,1
01/23/2012,12:50:17,3,Rescue or Emergency Medical Services Incident,1
01/23/2012,15:35:27,3,Rescue or Emergency Medical Services Incident,1
01/23/2012,16:45:43,3,Rescue or Emergency Medical Services Incident,1
01/23/2012,16:47:42,1,Fire,1
01/23/2012,20:13:25,7,False Alarm or False Call,1
01/23/2012,21:28:20,3,Rescue or Emergency Medical Services Incident,1
01/23/2012,21:53:09,6,Good Intent Call,1
01/24/2012,2:53:28,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,3:07:43,7,False Alarm or False Call,1
01/24/2012,3:44:29,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,9:21:59,4,Hazardous Condition (no fire),1
01/24/2012,11:53:32,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,12:58:39,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,13:03:17,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,15:04:02,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,15:38:40,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,15:40:38,3,Rescue or Emergency Medical Services Incident,1
01/24/2012,17:05:35,7,False Alarm or False Call,1
01/24/2012,17:29:27,5,Service Call,1
01/24/2012,17:46:13,1,Fire,1
01/24/2012,20:47:08,1,Fire,1
01/24/2012,22:34:35,1,Fire,1
01/25/2012,0:03:16,1,Fire,1
01/25/2012,7:58:42,3,Rescue or Emergency Medical Services Incident,1
01/25/2012,8:13:32,4,Hazardous Condition (no fire),1
01/25/2012,9:09:06,7,False Alarm or False Call,1
01/25/2012,9:55:35,6,Good Intent Call,1
01/25/2012,12:16:44,3,Rescue or Emergency Medical Services Incident,1
01/25/2012,14:45:25,1,Fire,1
01/25/2012,17:14:06,5,Service Call,1
01/25/2012,19:22:27,4,Hazardous Condition (no fire),1
01/25/2012,19:55:59,5,Service Call,1
01/25/2012,20:19:09,7,False Alarm or False Call,1
01/25/2012,20:21:42,4,Hazardous Condition (no fire),1
01/26/2012,6:44:02,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,7:02:08,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,9:25:20,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,10:17:12,3,Rescue or Emergency Medical Services Incident,1
01/26/2012,17:18:37,6,Good Intent Call,1
01/27/2012,9:22:23,4,Hazardous Condition (no fire),1
01/27/2012,12:31:38,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,13:51:24,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,15:38:21,7,False Alarm or False Call,1
01/27/2012,15:50:43,1,Fire,1
01/27/2012,16:40:07,6,Good Intent Call,1
01/27/2012,18:11:52,7,False Alarm or False Call,1
01/27/2012,18:27:28,7,False Alarm or False Call,1
01/27/2012,18:44:37,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,18:50:45,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,19:53:45,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,22:12:40,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,22:56:09,7,False Alarm or False Call,1
01/27/2012,23:26:18,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,23:37:00,3,Rescue or Emergency Medical Services Incident,1
01/27/2012,23:49:41,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,0:02:08,7,False Alarm or False Call,1
01/28/2012,0:15:29,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,0:58:21,7,False Alarm or False Call,1
01/28/2012,1:27:26,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,1:50:25,7,False Alarm or False Call,1
01/28/2012,11:00:22,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,11:01:18,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,11:07:06,6,Good Intent Call,1
01/28/2012,11:18:29,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,12:54:49,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,13:06:04,5,Service Call,1
01/28/2012,17:10:53,3,Rescue or Emergency Medical Services Incident,1
01/28/2012,18:57:29,1,Fire,1
01/28/2012,22:18:24,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,0:08:07,6,Good Intent Call,1
01/29/2012,0:32:48,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,1:32:34,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,2:02:42,7,False Alarm or False Call,1
01/29/2012,3:06:57,6,Good Intent Call,1
01/29/2012,6:55:59,7,False Alarm or False Call,1
01/29/2012,6:59:58,7,False Alarm or False Call,1
01/29/2012,7:58:35,7,False Alarm or False Call,1
01/29/2012,10:22:00,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,11:26:59,5,Service Call,1
01/29/2012,19:10:54,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,19:34:22,3,Rescue or Emergency Medical Services Incident,1
01/29/2012,20:08:07,3,Rescue or Emergency Medical Services Incident,1
01/30/2012,2:19:40,3,Rescue or Emergency Medical Services Incident,1
01/30/2012,4:38:51,5,Service Call,1
01/30/2012,12:54:32,6,Good Intent Call,1
01/30/2012,12:53:12,1,Fire,1
01/30/2012,14:06:49,6,Good Intent Call,1
01/30/2012,18:33:04,7,False Alarm or False Call,1
01/30/2012,19:38:46,7,False Alarm or False Call,1
01/30/2012,20:33:22,3,Rescue or Emergency Medical Services Incident,1
01/30/2012,21:07:27,3,Rescue or Emergency Medical Services Incident,1
01/30/2012,22:49:53,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,3:13:44,5,Service Call,1
01/31/2012,6:18:16,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,10:40:19,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,11:14:47,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,13:25:39,7,False Alarm or False Call,1
01/31/2012,15:27:16,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,16:24:32,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,16:38:49,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,17:12:35,6,Good Intent Call,1
01/31/2012,18:08:52,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,18:22:16,4,Hazardous Condition (no fire),1
01/31/2012,23:10:42,3,Rescue or Emergency Medical Services Incident,1
01/31/2012,23:28:04,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,1:02:05,6,Good Intent Call,1
02/01/2012,1:09:01,5,Service Call,1
02/01/2012,2:02:37,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,2:22:24,6,Good Intent Call,1
02/01/2012,5:50:46,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,6:54:54,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,7:01:34,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,7:16:45,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,10:12:06,1,Fire,1
02/01/2012,11:32:50,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,12:44:10,3,Rescue or Emergency Medical Services Incident,1
02/01/2012,17:35:45,7,False Alarm or False Call,1
02/02/2012,0:34:00,3,Rescue or Emergency Medical Services Incident,1
02/02/2012,1:48:50,3,Rescue or Emergency Medical Services Incident,1
02/02/2012,4:01:42,1,Fire,1
02/02/2012,6:11:45,3,Rescue or Emergency Medical Services Incident,1
02/02/2012,7:45:44,3,Rescue or Emergency Medical Services Incident,1
02/02/2012,11:15:11,7,False Alarm or False Call,1
02/02/2012,12:10:56,3,Rescue or Emergency Medical Services Incident,1
02/02/2012,15:16:26,5,Service Call,1
02/02/2012,16:01:13,7,False Alarm or False Call,1
02/02/2012,18:26:55,3,Rescue or Emergency Medical Services Incident,1
02/03/2012,1:41:17,7,False Alarm or False Call,1
02/03/2012,3:20:00,7,False Alarm or False Call,1
02/03/2012,6:02:38,5,Service Call,1
02/03/2012,7:51:38,6,Good Intent Call,1
